log_id,account_id,date,compute_credits_consumed,dq_rule
LOG0210537,ACC9284,2024-10-31,261,DQ-001
LOG0210538,ACC9141,2024-07-21,361,DQ-001
LOG0210539,ACC9547,2024-07-08,454,DQ-001
LOG0210540,ACC9142,2024-08-31,324,DQ-001
LOG0210541,ACC9106,2024-07-20,247,DQ-001
LOG0210542,ACC9216,2024-10-26,28,DQ-001
LOG0210543,ACC9936,2024-11-25,409,DQ-001
LOG0210544,ACC9417,2024-07-18,173,DQ-001
LOG0210545,ACC9035,2024-01-30,273,DQ-001
LOG0210546,ACC9267,2024-10-28,212,DQ-001
LOG0210547,ACC9389,2024-07-24,472,DQ-001
LOG0210548,ACC9053,2024-01-30,149,DQ-001
LOG0210549,ACC9276,2024-11-13,194,DQ-001
LOG0210550,ACC9205,2024-07-21,337,DQ-001
LOG0210551,ACC9801,2024-03-28,108,DQ-001
LOG0210552,ACC9558,2024-08-20,351,DQ-001
LOG0210553,ACC9005,2024-09-09,469,DQ-001
LOG0210554,ACC9273,2024-11-24,457,DQ-001
LOG0210555,ACC9559,2024-01-10,67,DQ-001
LOG0210556,ACC9964,2024-08-03,243,DQ-001
LOG0210557,ACC9604,2024-10-15,431,DQ-001
LOG0210558,ACC9368,2024-07-03,180,DQ-001
LOG0210559,ACC9221,2024-12-26,489,DQ-001
LOG0210560,ACC9009,2024-10-03,320,DQ-001
LOG0210561,ACC9196,2024-05-02,287,DQ-001
LOG0210562,ACC9027,2024-05-17,478,DQ-001
LOG0210563,ACC9030,2024-09-01,237,DQ-001
LOG0210564,ACC9186,2024-09-27,13,DQ-001
LOG0210565,ACC9333,2024-08-01,108,DQ-001
LOG0210566,ACC9122,2024-11-03,375,DQ-001
LOG0210567,ACC9244,2024-08-18,126,DQ-001
LOG0210568,ACC9589,2024-06-10,183,DQ-001
LOG0210569,ACC9332,2024-07-11,352,DQ-001
LOG0210570,ACC9598,2024-08-11,148,DQ-001
LOG0210571,ACC9962,2024-10-10,117,DQ-001
LOG0210572,ACC9584,2024-11-14,445,DQ-001
LOG0210573,ACC9844,2024-11-30,191,DQ-001
LOG0210574,ACC9515,2024-11-26,159,DQ-001
LOG0210575,ACC9532,2024-04-20,31,DQ-001
LOG0210576,ACC9014,2024-05-20,435,DQ-001
LOG0210577,ACC9020,2024-04-27,259,DQ-001
LOG0210578,ACC9061,2024-10-16,462,DQ-001
LOG0210579,ACC9691,2024-10-15,202,DQ-001
LOG0210580,ACC9566,2024-12-12,295,DQ-001
LOG0210581,ACC9100,2024-10-12,200,DQ-001
LOG0210582,ACC9905,2024-02-22,286,DQ-001
LOG0210583,ACC9801,2024-08-28,68,DQ-001
LOG0210584,ACC9371,2024-05-03,160,DQ-001
LOG0210585,ACC9844,2024-08-11,488,DQ-001
LOG0210586,ACC9501,2024-05-12,77,DQ-001
LOG0210587,ACC9492,2024-04-22,409,DQ-001
LOG0210588,ACC9444,2024-03-24,455,DQ-001
LOG0210589,ACC9890,2024-09-27,408,DQ-001
LOG0210590,ACC9149,2024-03-25,262,DQ-001
LOG0210591,ACC9540,2024-01-20,40,DQ-001
LOG0210592,ACC9578,2024-09-01,253,DQ-001
LOG0210593,ACC9778,2024-04-19,450,DQ-001
LOG0210594,ACC9097,2024-09-20,213,DQ-001
LOG0210595,ACC9102,2024-06-17,176,DQ-001
LOG0210596,ACC9155,2024-10-29,236,DQ-001
LOG0210597,ACC9059,2024-04-29,185,DQ-001
LOG0210598,ACC9167,2024-06-19,153,DQ-001
LOG0210599,ACC9917,2024-08-25,62,DQ-001
LOG0210600,ACC9131,2024-02-11,286,DQ-001
LOG0210601,ACC9857,2024-10-22,443,DQ-001
LOG0210602,ACC9126,2024-03-21,334,DQ-001
LOG0210603,ACC9885,2024-08-15,386,DQ-001
LOG0210604,ACC9658,2024-03-30,212,DQ-001
LOG0210605,ACC9729,2024-12-06,378,DQ-001
LOG0210606,ACC9727,2024-02-17,105,DQ-001
LOG0210607,ACC9613,2024-01-13,461,DQ-001
LOG0210608,ACC9411,2024-04-03,53,DQ-001
LOG0210609,ACC9180,2024-09-19,373,DQ-001
LOG0210610,ACC9060,2024-01-14,483,DQ-001
LOG0210611,ACC9913,2024-03-25,150,DQ-001
LOG0210612,ACC9618,2024-07-13,368,DQ-001
LOG0210613,ACC9479,2024-10-11,468,DQ-001
LOG0210614,ACC9798,2024-02-26,466,DQ-001
LOG0210615,ACC9542,2024-08-11,112,DQ-001
LOG0210616,ACC9054,2024-04-12,279,DQ-001
LOG0210617,ACC9138,2024-09-01,486,DQ-001
LOG0210618,ACC9428,2024-11-05,399,DQ-001
LOG0210619,ACC9731,2024-01-28,233,DQ-001
LOG0210620,ACC9492,2024-05-23,290,DQ-001
LOG0210621,ACC9650,2024-12-16,284,DQ-001
LOG0210622,ACC9652,2024-04-16,103,DQ-001
LOG0210623,ACC9396,2024-02-09,495,DQ-001
LOG0210624,ACC9704,2024-05-30,488,DQ-001
LOG0210625,ACC9940,2024-06-19,81,DQ-001
LOG0210626,ACC9687,2024-02-16,404,DQ-001
LOG0210627,ACC9557,2024-10-28,432,DQ-001
LOG0210628,ACC9117,2024-10-18,246,DQ-001
LOG0210629,ACC9250,2024-10-09,211,DQ-001
LOG0210630,ACC9988,2024-01-26,454,DQ-001
LOG0210631,ACC9247,2024-04-27,216,DQ-001
LOG0210632,ACC9862,2024-04-20,263,DQ-001
LOG0210633,ACC9442,2024-06-19,227,DQ-001
LOG0210634,ACC9692,2024-03-18,124,DQ-001
LOG0210635,ACC9241,2024-01-18,157,DQ-001
LOG0210636,ACC9611,2024-05-14,266,DQ-001
LOG0210637,ACC9854,2024-01-06,27,DQ-001
LOG0210638,ACC9276,2024-05-17,371,DQ-001
LOG0210639,ACC9632,2024-05-10,453,DQ-001
LOG0210640,ACC9260,2024-05-14,458,DQ-001
LOG0210641,ACC9196,2024-02-22,75,DQ-001
LOG0210642,ACC9074,2024-06-10,169,DQ-001
LOG0210643,ACC9845,2024-03-30,298,DQ-001
LOG0210644,ACC9769,2024-04-23,223,DQ-001
LOG0210645,ACC9583,2024-07-25,276,DQ-001
LOG0210646,ACC9080,2024-07-25,260,DQ-001
LOG0210647,ACC9323,2024-05-15,407,DQ-001
LOG0210648,ACC9781,2024-10-18,337,DQ-001
LOG0210649,ACC9147,2024-12-02,239,DQ-001
LOG0210650,ACC9092,2024-09-03,292,DQ-001
LOG0210651,ACC9095,2024-05-07,282,DQ-001
LOG0210652,ACC9999,2024-11-16,135,DQ-001
LOG0210653,ACC9317,2024-07-12,189,DQ-001
LOG0210654,ACC9324,2024-08-16,170,DQ-001
LOG0210655,ACC9166,2024-05-23,354,DQ-001
LOG0210656,ACC9164,2024-12-22,352,DQ-001
LOG0210657,ACC9502,2024-06-23,386,DQ-001
LOG0210658,ACC9563,2024-07-31,389,DQ-001
LOG0210659,ACC9201,2024-06-08,131,DQ-001
LOG0210660,ACC9330,2024-01-18,347,DQ-001
LOG0210661,ACC9599,2024-10-08,259,DQ-001
LOG0210662,ACC9877,2024-06-09,216,DQ-001
LOG0210663,ACC9789,2024-09-17,228,DQ-001
LOG0210664,ACC9872,2024-08-09,335,DQ-001
LOG0210665,ACC9190,2024-04-13,130,DQ-001
LOG0210666,ACC9198,2024-06-15,93,DQ-001
LOG0210667,ACC9947,2024-06-18,181,DQ-001
LOG0210668,ACC9761,2024-10-25,250,DQ-001
LOG0210669,ACC9370,2024-11-28,59,DQ-001
LOG0210670,ACC9830,2024-09-24,104,DQ-001
LOG0210671,ACC9775,2024-02-20,400,DQ-001
LOG0210672,ACC9612,2024-10-23,256,DQ-001
LOG0210673,ACC9183,2024-05-15,319,DQ-001
LOG0210674,ACC9672,2024-01-19,442,DQ-001
LOG0210675,ACC9634,2024-06-16,300,DQ-001
LOG0210676,ACC9387,2024-01-13,93,DQ-001
LOG0210677,ACC9534,2024-01-20,292,DQ-001
LOG0210678,ACC9825,2024-07-31,376,DQ-001
LOG0210679,ACC9861,2024-09-01,448,DQ-001
LOG0210680,ACC9266,2024-01-13,481,DQ-001
LOG0210681,ACC9028,2024-02-29,200,DQ-001
LOG0210682,ACC9912,2024-09-09,178,DQ-001
LOG0210683,ACC0854,2023-07-28,102,DQ-002
LOG0210684,ACC0288,2023-06-19,374,DQ-002
LOG0210685,ACC0338,2023-11-06,328,DQ-002
LOG0210686,ACC0337,2023-03-09,238,DQ-002
LOG0210687,ACC0777,2023-11-27,105,DQ-002
LOG0210688,ACC0320,2023-05-25,336,DQ-002
LOG0210689,ACC0823,2023-03-01,23,DQ-002
LOG0210690,ACC0465,2023-07-20,324,DQ-002
LOG0210691,ACC0997,2023-02-26,25,DQ-002
LOG0210692,ACC0138,2023-09-19,126,DQ-002
LOG0210693,ACC0607,2023-05-11,317,DQ-002
LOG0210694,ACC0248,2023-08-17,387,DQ-002
LOG0210695,ACC0001,2023-08-17,205,DQ-002
LOG0210696,ACC0124,2023-03-05,176,DQ-002
LOG0210697,ACC0500,2023-11-17,211,DQ-002
LOG0210698,ACC0987,2023-06-13,391,DQ-002
LOG0210699,ACC0032,2023-01-17,220,DQ-002
LOG0210700,ACC0645,2023-11-02,303,DQ-002
LOG0210701,ACC0146,2023-05-23,28,DQ-002
LOG0210702,ACC0418,2023-04-13,58,DQ-002
LOG0210703,ACC0022,2023-01-11,65,DQ-002
LOG0210704,ACC0178,2023-03-13,240,DQ-002
LOG0210705,ACC0663,2023-03-08,257,DQ-002
LOG0210706,ACC0345,2023-09-04,367,DQ-002
LOG0210707,ACC0686,2023-01-07,289,DQ-002
LOG0210708,ACC0834,2023-01-14,177,DQ-002
LOG0210709,ACC0436,2023-08-07,117,DQ-002
LOG0210710,ACC0262,2023-08-04,134,DQ-002
LOG0210711,ACC0806,2023-11-11,15,DQ-002
LOG0210712,ACC0143,2023-11-11,88,DQ-002
LOG0210713,ACC0286,2023-10-09,235,DQ-002
LOG0210714,ACC0890,2023-07-21,138,DQ-002
LOG0210715,ACC0883,2023-09-08,53,DQ-002
LOG0210716,ACC0283,2023-04-01,219,DQ-002
LOG0210717,ACC0793,2023-07-21,12,DQ-002
LOG0210718,ACC0072,2023-08-11,353,DQ-002
LOG0210719,ACC0490,2023-01-11,143,DQ-002
LOG0210720,ACC0982,2023-08-01,302,DQ-002
LOG0210721,ACC0383,2023-07-04,298,DQ-002
LOG0210722,ACC0165,2023-06-18,94,DQ-002
LOG0210723,ACC0225,2023-05-20,250,DQ-002
LOG0210724,ACC0086,2023-06-05,323,DQ-002
LOG0210725,ACC0656,2023-09-16,11,DQ-002
LOG0210726,ACC0156,2023-01-02,304,DQ-002
LOG0210727,ACC0576,2023-10-01,199,DQ-002
LOG0210728,ACC0707,2023-03-07,101,DQ-002
LOG0210729,ACC0149,2023-09-16,207,DQ-002
LOG0210730,ACC0966,2023-09-07,70,DQ-002
LOG0210731,ACC0269,2023-05-14,162,DQ-002
LOG0210732,ACC0962,2023-10-05,384,DQ-002
LOG0210733,ACC0038,2023-07-12,341,DQ-002
LOG0210734,ACC0143,2023-02-10,94,DQ-002
LOG0210735,ACC0243,2023-03-01,275,DQ-002
LOG0210736,ACC0611,2023-01-15,133,DQ-002
LOG0210737,ACC0873,2023-10-15,262,DQ-002
LOG0210738,ACC0008,2023-07-26,274,DQ-002
LOG0210739,ACC0800,2023-05-25,253,DQ-002
LOG0210740,ACC0505,2023-08-13,57,DQ-002
LOG0210741,ACC0354,2023-01-21,332,DQ-002
LOG0210742,ACC0261,2023-01-02,133,DQ-002
LOG0210743,ACC0420,2023-12-01,393,DQ-002
LOG0210744,ACC0984,2023-08-19,67,DQ-002
LOG0210745,ACC0102,2023-03-22,189,DQ-002
LOG0210746,ACC0447,2023-07-17,153,DQ-002
LOG0210747,ACC0462,2023-11-01,114,DQ-002
LOG0210748,ACC0242,2023-03-04,371,DQ-002
LOG0210749,ACC0962,2023-11-20,105,DQ-002
LOG0210750,ACC0214,2023-02-07,189,DQ-002
LOG0210751,ACC0959,2023-10-06,67,DQ-002
LOG0210752,ACC0888,2023-09-21,201,DQ-002
LOG0210753,ACC0381,2023-04-28,165,DQ-002
LOG0210754,ACC0202,2023-07-09,221,DQ-002
LOG0210755,ACC0229,2023-07-07,37,DQ-002
LOG0210756,ACC0544,2023-02-10,68,DQ-002
LOG0210757,ACC0454,2023-04-10,16,DQ-002
LOG0210758,ACC0414,2023-05-16,327,DQ-002
LOG0210759,ACC0732,2023-11-28,400,DQ-002
LOG0210760,ACC0042,2023-05-24,36,DQ-002
LOG0210761,ACC0736,2023-05-11,163,DQ-002
LOG0210762,ACC0455,2023-07-11,14,DQ-002
LOG0210763,ACC0668,2023-08-13,376,DQ-002
LOG0210764,ACC0764,2023-02-22,271,DQ-002
LOG0210765,ACC0105,2023-09-21,56,DQ-002
LOG0210766,ACC0467,2023-09-19,193,DQ-002
LOG0210767,ACC0035,2023-12-15,65,DQ-002
LOG0210768,ACC0060,2023-08-06,124,DQ-002
LOG0210769,ACC0088,2023-04-28,217,DQ-002
LOG0210770,ACC0441,2023-07-04,145,DQ-002
LOG0210771,ACC0079,2023-04-20,293,DQ-002
LOG0210772,ACC0611,2023-10-21,47,DQ-002
LOG0210773,ACC0362,2023-08-17,377,DQ-002
LOG0210774,ACC0259,2023-06-15,336,DQ-002
LOG0210775,ACC0049,2023-09-23,193,DQ-002
LOG0210776,ACC0408,2023-01-04,380,DQ-002
LOG0210777,ACC0169,2023-06-03,389,DQ-002
LOG0210778,ACC0366,2023-05-01,83,DQ-002
LOG0210779,ACC0189,2023-10-14,35,DQ-002
LOG0210780,ACC0078,2023-03-24,341,DQ-002
LOG0210781,ACC0665,2023-08-12,196,DQ-002
LOG0210782,ACC0381,2023-05-18,350,DQ-002
LOG0210783,ACC0982,2023-10-15,115,DQ-002
LOG0210784,ACC0161,2023-06-16,336,DQ-002
LOG0210785,ACC0411,2023-07-20,299,DQ-002
LOG0210786,ACC0505,2023-02-19,132,DQ-002
LOG0210787,ACC0891,2023-09-06,369,DQ-002
LOG0210788,ACC0082,2023-09-03,192,DQ-002
LOG0210789,ACC0083,2023-12-20,28,DQ-002
LOG0210790,ACC0573,2023-11-27,147,DQ-002
LOG0210791,ACC0667,2023-08-07,236,DQ-002
LOG0210792,ACC0995,2023-05-03,123,DQ-002
LOG0210793,ACC0200,2023-10-28,102,DQ-002
LOG0210794,ACC0862,2023-01-18,288,DQ-002
LOG0210795,ACC0399,2023-08-26,387,DQ-002
LOG0210796,ACC0855,2023-07-05,395,DQ-002
LOG0210797,ACC0260,2023-07-18,387,DQ-002
LOG0210798,ACC0726,2023-09-24,354,DQ-002
LOG0210799,ACC0130,2023-07-02,333,DQ-002
LOG0210800,ACC0201,2023-09-18,283,DQ-002
LOG0210801,ACC0409,2023-11-19,368,DQ-002
LOG0210802,ACC0352,2023-09-17,288,DQ-002
LOG0210803,ACC0207,2023-09-12,163,DQ-002
LOG0210804,ACC0891,2023-07-09,231,DQ-002
LOG0210805,ACC0999,2023-10-24,304,DQ-002
LOG0210806,ACC0235,2023-04-10,134,DQ-002
LOG0210807,ACC0965,2023-02-20,398,DQ-002
LOG0210808,ACC0503,2023-12-16,162,DQ-002
LOG0210809,ACC0013,2023-12-16,138,DQ-002
LOG0210810,ACC0218,2023-07-13,272,DQ-002
LOG0210811,ACC0342,2023-05-17,151,DQ-002
LOG0210812,ACC0569,2023-03-24,54,DQ-002
LOG0210813,ACC0049,2023-01-23,183,DQ-002
LOG0210814,ACC0789,2023-12-17,280,DQ-002
LOG0210815,ACC0082,2023-06-27,197,DQ-002
LOG0210816,ACC0956,2023-05-14,46,DQ-002
LOG0210817,ACC0161,2023-11-16,12,DQ-002
LOG0210818,ACC0183,2023-01-23,280,DQ-002
LOG0210819,ACC0725,2023-06-02,314,DQ-002
LOG0210820,ACC0707,2023-05-02,148,DQ-002
LOG0210821,ACC0814,2023-10-08,70,DQ-002
LOG0210822,ACC0131,2023-01-02,36,DQ-002
LOG0210823,ACC0111,2023-07-05,96,DQ-002
LOG0210824,ACC0821,2023-10-12,319,DQ-002
LOG0210825,ACC0598,2023-05-17,398,DQ-002
LOG0210826,ACC0494,2023-09-19,164,DQ-002
LOG0210827,ACC0367,2023-05-14,57,DQ-002
LOG0210828,ACC0470,2023-01-28,106,DQ-002
LOG0210829,ACC0491,2023-01-08,258,DQ-002
LOG0210830,ACC0075,2023-11-25,18,DQ-002
LOG0210831,ACC0777,2023-07-24,117,DQ-002
LOG0210832,ACC0657,2023-03-25,260,DQ-002
