account_id,month,contracted_arr,deployment_score,sustained_usage_score,technical_health_score,expansion_momentum,prs,realized_arr,prs_band,shelfware_override,flag_overage,months_in_window,months_active
ACC0424,2024-01,75000,0.7431,1.0,1.0,0.1,0.8073,60544.1,Green,False,False,1,1
ACC0428,2024-01,50000,0.0,0.0,0.2,0.1,0.0,0.0,Red,True,False,1,1
ACC0435,2024-01,150000,0.6405,1.0,0.2,0.1,0.6062,90930.35,Yellow,False,False,1,1
ACC0445,2024-01,5000,0.7114,1.0,1.0,0.1,0.7946,3972.86,Yellow,False,False,1,1
ACC0450,2024-01,5000,1.0,1.0,0.68,0.1,0.846,4230.0,Green,False,True,1,1
ACC0454,2024-01,100000,0.7212,1.0,1.0,0.1,0.7985,79848.46,Yellow,False,False,1,1
ACC0459,2024-01,100000,1.0,1.0,0.68,0.1,0.846,84600.0,Green,False,True,1,1
ACC0460,2024-01,75000,0.6718,1.0,1.0,0.1,0.7787,58403.87,Yellow,False,False,1,1
ACC0481,2024-01,15000,0.5318,1.0,1.0,0.1,0.7227,10840.91,Yellow,False,False,1,1
ACC0485,2024-01,127894,0.6665,1.0,1.0,0.1,0.7766,99323.01,Yellow,False,False,1,1
ACC0499,2024-01,35000,0.6106,1.0,0.2,0.1,0.5942,20798.1,Orange,False,False,1,1
ACC0509,2024-01,100000,0.7246,1.0,1.0,0.1,0.7998,79982.55,Yellow,False,False,1,1
ACC0563,2024-01,10000,0.5787,1.0,1.0,0.1,0.7415,7414.84,Yellow,False,False,1,1
ACC0570,2024-01,25000,1.0,1.0,0.76,0.1,0.862,21550.0,Green,False,True,1,1
ACC0574,2024-01,150000,0.609,1.0,1.0,0.1,0.7536,113037.15,Yellow,False,False,1,1
ACC0577,2024-01,5000,0.7811,1.0,1.0,0.1,0.8224,4112.23,Green,False,False,1,1
ACC0581,2024-01,200000,0.7211,1.0,1.0,0.1,0.7984,159688.54,Yellow,False,False,1,1
ACC0586,2024-01,75000,1.0,1.0,1.0,0.1,0.91,68250.0,Green,False,True,1,1
ACC0589,2024-01,300000,0.7071,1.0,0.44,0.1,0.6808,204249.83,Yellow,False,False,1,1
ACC0611,2024-01,10000,0.7206,1.0,1.0,0.1,0.7982,7982.48,Yellow,False,False,1,1
ACC0612,2024-01,100000,0.7848,1.0,1.0,0.1,0.8239,82393.31,Green,False,False,1,1
ACC0627,2024-01,10000,0.6549,1.0,0.2,0.1,0.612,6119.72,Yellow,False,False,1,1
ACC0629,2024-01,300000,0.5805,1.0,1.0,0.1,0.7422,222662.69,Yellow,False,False,1,1
ACC0634,2024-01,100000,0.6487,1.0,0.6,0.1,0.6895,68949.44,Yellow,False,False,1,1
ACC0636,2024-01,25000,1.0,1.0,1.0,0.1,0.91,22750.0,Green,False,True,1,1
ACC0638,2024-01,15000,0.7702,1.0,0.52,0.1,0.7221,10830.91,Yellow,False,False,1,1
ACC0644,2024-01,5000,1.0,1.0,0.6,0.1,0.83,4150.0,Green,False,True,1,1
ACC0663,2024-01,122145,0.6443,1.0,0.68,0.1,0.7037,85957.39,Yellow,False,False,1,1
ACC0667,2024-01,5000,0.6264,1.0,1.0,0.1,0.7606,3802.8,Yellow,False,False,1,1
ACC0685,2024-01,25000,0.6223,1.0,0.6,0.1,0.6789,16972.71,Yellow,False,False,1,1
ACC0703,2024-01,10000,0.5913,1.0,0.6,0.1,0.6665,6665.12,Yellow,False,False,1,1
ACC0706,2024-01,150000,0.6221,1.0,0.6,0.1,0.6789,101827.89,Yellow,False,False,1,1
ACC0716,2024-01,10000,0.6847,1.0,0.68,0.1,0.7199,7198.92,Yellow,False,False,1,1
ACC0745,2024-01,25000,0.7162,1.0,0.52,0.1,0.7005,17511.83,Yellow,False,False,1,1
ACC0749,2024-01,75000,0.7086,1.0,1.0,0.1,0.7934,59507.11,Yellow,False,False,1,1
ACC0766,2024-01,170984,0.6481,1.0,1.0,0.1,0.7692,131527.11,Yellow,False,False,1,1
ACC0778,2024-01,50000,0.6015,1.0,1.0,0.1,0.7506,37529.86,Yellow,False,False,1,1
ACC0780,2024-01,15000,0.0,0.0,0.2,0.1,0.0,0.0,Red,True,False,1,1
ACC0782,2024-01,25000,0.6438,1.0,0.7,0.1,0.7075,17688.13,Yellow,False,False,1,1
ACC0783,2024-01,200000,0.5708,1.0,0.68,0.1,0.6743,134864.63,Yellow,False,False,1,1
ACC0789,2024-01,15000,0.7326,1.0,0.6,0.1,0.723,10845.48,Yellow,False,False,1,1
ACC0794,2024-01,10000,0.6286,1.0,1.0,0.1,0.7614,7614.29,Yellow,False,False,1,1
ACC0797,2024-01,25000,0.6446,1.0,0.6,0.1,0.6878,17196.19,Yellow,False,False,1,1
ACC0798,2024-01,15000,0.0,0.0,0.6,0.1,0.0,0.0,Red,True,False,1,1
ACC0802,2024-01,5000,0.769,1.0,0.68,0.1,0.7536,3768.08,Yellow,False,False,1,1
ACC0803,2024-01,15000,0.5964,1.0,0.6,0.1,0.6686,10028.45,Yellow,False,False,1,1
ACC0808,2024-01,100000,0.0,0.0,0.2,0.1,0.0,0.0,Red,True,False,1,1
ACC0825,2024-01,104248,0.5915,1.0,0.7,0.1,0.6866,71574.95,Yellow,False,False,1,1
ACC0832,2024-01,15000,0.7071,1.0,1.0,0.1,0.7928,11892.32,Yellow,False,False,1,1
ACC0839,2024-01,10000,0.707,1.0,0.2,0.1,0.6328,6327.81,Yellow,False,False,1,1
ACC0840,2024-01,150000,0.5702,1.0,1.0,0.1,0.7381,110713.69,Yellow,False,False,1,1
ACC0849,2024-01,15000,1.0,1.0,0.92,0.1,0.894,13410.0,Green,False,True,1,1
ACC0855,2024-01,25000,0.6202,1.0,1.0,0.1,0.7581,18952.03,Yellow,False,False,1,1
ACC0860,2024-01,10000,0.7376,1.0,0.8,0.1,0.765,7650.39,Yellow,False,False,1,1
ACC0863,2024-01,5000,0.7155,1.0,0.84,0.1,0.7642,3821.03,Yellow,False,False,1,1
ACC0882,2024-01,500000,1.0,1.0,1.0,0.1,0.91,455000.0,Green,False,True,1,1
ACC0890,2024-01,150000,0.6404,1.0,1.0,0.1,0.7662,114926.78,Yellow,False,False,1,1
ACC0916,2024-01,15000,0.5342,1.0,1.0,0.1,0.7237,10855.09,Yellow,False,False,1,1
ACC0932,2024-01,15000,0.7588,1.0,1.0,0.1,0.8135,12203.07,Green,False,False,1,1
ACC0939,2024-01,25000,0.7616,1.0,1.0,0.1,0.8147,20366.3,Green,False,False,1,1
ACC0971,2024-01,198476,1.0,1.0,0.9,0.1,0.89,176643.64,Green,False,True,1,1
ACC0974,2024-01,100000,0.6063,1.0,0.6,0.1,0.6725,67252.7,Yellow,False,False,1,1
ACC0002,2024-02,5000,1.0,1.0,1.0,0.1,0.91,4550.0,Green,False,True,1,1
ACC0005,2024-02,500000,0.0146,0.0,0.6,0.1,0.1358,67920.31,Red,False,False,1,1
ACC0007,2024-02,10000,0.0,0.0,0.6,0.1,0.0,0.0,Red,True,False,1,1
ACC0011,2024-02,22043,1.0,1.0,0.7,0.1,0.85,18736.55,Green,False,True,1,1
ACC0015,2024-02,10000,1.0,1.0,1.0,0.1,0.91,9100.0,Green,False,True,1,1
ACC0019,2024-02,5000,0.6295,1.0,0.6,0.1,0.6818,3408.95,Yellow,False,False,1,1
ACC0035,2024-02,100000,0.6908,1.0,1.0,0.1,0.7863,78632.61,Yellow,False,False,1,1
ACC0037,2024-02,25000,1.0,1.0,0.6,0.1,0.83,20750.0,Green,False,True,1,1
ACC0043,2024-02,75000,0.7124,1.0,0.2,0.1,0.6349,47620.89,Yellow,False,False,1,1
ACC0044,2024-02,200000,0.6404,1.0,1.0,0.1,0.7661,153229.0,Yellow,False,False,1,1
ACC0054,2024-02,5000,1.0,1.0,1.0,0.1,0.91,4550.0,Green,False,True,1,1
ACC0058,2024-02,10000,0.667,1.0,0.8,0.1,0.7368,7368.14,Yellow,False,False,1,1
ACC0059,2024-02,10000,0.6156,1.0,0.6,0.1,0.6763,6762.57,Yellow,False,False,1,1
ACC0064,2024-02,35000,1.0,1.0,0.6,0.1,0.83,29050.0,Green,False,True,1,1
ACC0067,2024-02,5000,0.6452,1.0,1.0,0.1,0.7681,3840.47,Yellow,False,False,1,1
ACC0069,2024-02,35000,0.0054,0.0,0.6,0.1,0.1321,4624.97,Red,False,False,1,1
ACC0075,2024-02,15000,0.6128,1.0,0.6,0.1,0.6751,10126.58,Yellow,False,False,1,1
ACC0081,2024-02,10000,0.0,0.0,0.2,0.1,0.0,0.0,Red,True,False,1,1
ACC0090,2024-02,35000,1.0,1.0,0.6,0.1,0.83,29050.0,Green,False,True,1,1
ACC0091,2024-02,100000,0.6015,1.0,0.8,0.1,0.7106,71058.45,Yellow,False,False,1,1
ACC0107,2024-02,150000,0.7368,1.0,1.0,0.1,0.8047,120708.84,Green,False,False,1,1
ACC0111,2024-02,15000,0.7552,1.0,1.0,0.1,0.8121,12181.41,Green,False,False,1,1
ACC0114,2024-02,15000,0.702,1.0,1.0,0.1,0.7908,11861.92,Yellow,False,False,1,1
ACC0129,2024-02,300000,0.6633,1.0,0.8,0.1,0.7353,220600.28,Yellow,False,False,1,1
ACC0137,2024-02,150000,0.7179,1.0,0.8,0.1,0.7572,113576.77,Yellow,False,False,1,1
ACC0138,2024-02,10000,0.711,1.0,1.0,0.1,0.7944,7944.11,Yellow,False,False,1,1
ACC0144,2024-02,10284,0.7946,1.0,1.0,0.1,0.8279,8513.64,Green,False,False,1,1
ACC0146,2024-02,25000,0.6264,1.0,0.6,0.1,0.6806,17014.39,Yellow,False,False,1,1
ACC0149,2024-02,150000,0.8072,1.0,1.0,0.1,0.8329,124929.8,Green,False,False,1,1
ACC0161,2024-02,75000,0.679,1.0,1.0,0.1,0.7816,58619.31,Yellow,False,False,1,1
ACC0173,2024-02,75000,0.6966,1.0,1.0,0.1,0.7886,59146.52,Yellow,False,False,1,1
ACC0180,2024-02,35849,0.6763,1.0,1.0,0.1,0.7805,27980.34,Yellow,False,False,1,1
ACC0181,2024-02,300000,0.0165,0.0,0.5,0.1,0.1166,34974.23,Red,False,False,1,1
ACC0189,2024-02,100000,0.5827,1.0,1.0,0.1,0.7431,74308.81,Yellow,False,False,1,1
ACC0190,2024-02,25000,0.6024,1.0,0.8,0.1,0.711,17773.91,Yellow,False,False,1,1
ACC0191,2024-02,10000,0.6032,1.0,1.0,0.1,0.7513,7512.7,Yellow,False,False,1,1
ACC0192,2024-02,25000,0.6926,1.0,1.0,0.1,0.787,19676.2,Yellow,False,False,1,1
ACC0198,2024-02,10000,0.7971,1.0,0.2,0.1,0.6689,6688.54,Yellow,False,False,1,1
ACC0204,2024-02,159441,1.0,1.0,1.0,0.1,0.91,145091.31,Green,False,True,1,1
ACC0208,2024-02,10000,0.0057,0.0,0.6,0.1,0.1323,1322.88,Red,False,False,1,1
ACC0209,2024-02,500000,0.6642,1.0,1.0,0.1,0.7757,387842.2,Yellow,False,False,1,1
ACC0213,2024-02,88712,0.7746,1.0,1.0,0.1,0.8198,72730.4,Green,False,False,1,1
ACC0219,2024-02,107476,0.6453,1.0,0.2,0.1,0.6081,65356.83,Yellow,False,False,1,1
ACC0226,2024-02,150000,0.7789,1.0,0.7,0.1,0.7616,114235.54,Yellow,False,False,1,1
ACC0232,2024-02,124862,0.7428,1.0,1.0,0.1,0.8071,100779.41,Green,False,False,1,1
ACC0235,2024-02,300000,0.7522,1.0,0.6,0.1,0.7309,219258.38,Yellow,False,False,1,1
ACC0236,2024-02,150000,0.5867,1.0,1.0,0.1,0.7447,111699.05,Yellow,False,False,1,1
ACC0253,2024-02,50000,1.0,1.0,1.0,0.1,0.91,45500.0,Green,False,True,1,1
ACC0254,2024-02,15000,0.7593,1.0,0.2,0.1,0.6537,9805.56,Yellow,False,False,1,1
ACC0258,2024-02,196326,0.0,0.0,0.6,0.1,0.0,0.0,Red,True,False,1,1
ACC0259,2024-02,82051,0.5833,1.0,1.0,0.1,0.7433,60990.04,Yellow,False,False,1,1
ACC0262,2024-02,50000,0.6406,1.0,0.6,0.1,0.6862,34312.5,Yellow,False,False,1,1
ACC0263,2024-02,75000,0.7327,1.0,1.0,0.1,0.8031,60230.42,Green,False,False,1,1
ACC0269,2024-02,25000,0.5791,1.0,0.8,0.1,0.7016,17541.03,Yellow,False,False,1,1
ACC0270,2024-02,15000,0.5887,1.0,1.0,0.1,0.7455,11182.47,Yellow,False,False,1,1
ACC0277,2024-02,15000,0.6637,1.0,0.8,0.1,0.7355,11032.26,Yellow,False,False,1,1
ACC0279,2024-02,100000,0.608,1.0,0.7,0.1,0.6932,69319.13,Yellow,False,False,1,1
ACC0286,2024-02,15000,0.6918,1.0,1.0,0.1,0.7867,11800.72,Yellow,False,False,1,1
ACC0294,2024-02,200000,0.66,1.0,1.0,0.1,0.774,154799.08,Yellow,False,False,1,1
ACC0305,2024-02,100000,0.7806,1.0,0.8,0.1,0.7822,78224.43,Yellow,False,False,1,1
ACC0306,2024-02,5000,1.0,1.0,1.0,0.1,0.91,4550.0,Green,False,True,1,1
ACC0307,2024-02,50000,0.7377,1.0,1.0,0.1,0.8051,40254.64,Green,False,False,1,1
ACC0309,2024-02,161348,0.0,0.0,0.2,0.1,0.0,0.0,Red,True,False,1,1
ACC0329,2024-02,15000,0.6141,1.0,0.6,0.1,0.6756,10134.56,Yellow,False,False,1,1
ACC0332,2024-02,150000,1.0,1.0,1.0,0.1,0.91,136500.0,Green,False,True,1,1
ACC0336,2024-02,200000,0.7434,1.0,0.8,0.1,0.7673,153468.87,Yellow,False,False,1,1
ACC0342,2024-02,10000,0.7941,1.0,0.6,0.1,0.7476,7476.47,Yellow,False,False,1,1
ACC0350,2024-02,10000,0.5515,1.0,0.6,0.1,0.6506,6506.04,Yellow,False,False,1,1
ACC0352,2024-02,100000,0.6454,1.0,1.0,0.1,0.7682,76815.48,Yellow,False,False,1,1
ACC0354,2024-02,100000,0.6797,1.0,0.6,0.1,0.7019,70186.18,Yellow,False,False,1,1
ACC0362,2024-02,115604,0.6534,1.0,1.0,0.1,0.7714,89171.33,Yellow,False,False,1,1
ACC0364,2024-02,200000,0.719,1.0,1.0,0.1,0.7976,159516.28,Yellow,False,False,1,1
ACC0406,2024-02,200000,0.609,1.0,0.2,0.1,0.5936,118723.82,Orange,False,False,1,1
ACC0408,2024-02,25000,0.6182,1.0,0.8,0.1,0.7173,17931.92,Yellow,False,False,1,1
ACC0420,2024-02,10000,0.6504,1.0,1.0,0.1,0.7702,7701.77,Yellow,False,False,1,1
ACC0424,2024-02,75000,0.7619,1.0,0.7,0.1,0.7548,56608.22,Yellow,False,False,1,1
ACC0428,2024-02,50000,0.0,0.0,0.2,0.1,0.0,0.0,Red,True,False,1,1
ACC0429,2024-02,150000,0.5904,1.0,0.9,0.1,0.7261,108921.26,Yellow,False,False,1,1
ACC0433,2024-02,25000,0.0118,0.0,0.6,0.1,0.1347,3367.87,Red,False,False,1,1
ACC0435,2024-02,150000,0.7091,1.0,0.4,0.1,0.6736,101045.16,Yellow,False,False,1,1
ACC0445,2024-02,5000,0.6943,1.0,0.7,0.1,0.7277,3638.57,Yellow,False,False,1,1
ACC0446,2024-02,50000,0.684,1.0,1.0,0.1,0.7836,39180.54,Yellow,False,False,1,1
ACC0450,2024-02,5000,1.0,1.0,0.6,0.1,0.83,4150.0,Green,False,True,1,1
ACC0454,2024-02,100000,0.6898,1.0,1.0,0.1,0.7859,78590.97,Yellow,False,False,1,1
ACC0459,2024-02,100000,1.0,1.0,1.0,0.1,0.91,91000.0,Green,False,True,1,1
ACC0460,2024-02,75000,0.718,1.0,1.0,0.1,0.7972,59788.7,Yellow,False,False,1,1
ACC0463,2024-02,15000,0.8259,1.0,0.9,0.1,0.8203,12305.11,Green,False,False,1,1
ACC0475,2024-02,200000,0.0,0.0,0.2,0.1,0.0,0.0,Red,True,False,1,1
ACC0481,2024-02,15000,0.5573,1.0,1.0,0.1,0.7329,10993.64,Yellow,False,False,1,1
ACC0485,2024-02,127894,0.734,1.0,1.0,0.1,0.8036,102774.48,Green,False,False,1,1
ACC0491,2024-02,10000,0.6373,1.0,0.6,0.1,0.6849,6849.14,Yellow,False,False,1,1
ACC0493,2024-02,15000,0.6064,1.0,1.0,0.1,0.7525,11288.17,Yellow,False,False,1,1
ACC0499,2024-02,35000,0.6393,1.0,0.6,0.1,0.6857,24000.66,Yellow,False,False,1,1
ACC0509,2024-02,100000,0.7156,1.0,1.0,0.1,0.7962,79623.33,Yellow,False,False,1,1
ACC0513,2024-02,300000,0.564,1.0,0.2,0.1,0.5756,172683.54,Orange,False,False,1,1
ACC0530,2024-02,15920,0.583,1.0,1.0,0.1,0.7432,11831.47,Yellow,False,False,1,1
ACC0537,2024-02,10000,0.6274,1.0,0.7,0.1,0.7009,7009.49,Yellow,False,False,1,1
ACC0542,2024-02,10000,0.7469,1.0,0.8,0.1,0.7688,7687.63,Yellow,False,False,1,1
ACC0544,2024-02,150000,0.7154,1.0,1.0,0.1,0.7961,119421.06,Yellow,False,False,1,1
ACC0545,2024-02,15000,1.0,1.0,1.0,0.1,0.91,13650.0,Green,False,True,1,1
ACC0556,2024-02,75000,0.6126,1.0,0.9,0.1,0.735,55126.81,Yellow,False,False,1,1
ACC0560,2024-02,150000,0.634,1.0,1.0,0.1,0.7636,114542.18,Yellow,False,False,1,1
ACC0563,2024-02,10000,0.6357,1.0,0.7,0.1,0.7043,7042.73,Yellow,False,False,1,1
ACC0570,2024-02,25000,1.0,1.0,1.0,0.1,0.91,22750.0,Green,False,True,1,1
ACC0574,2024-02,150000,0.7126,1.0,0.7,0.1,0.7351,110258.62,Yellow,False,False,1,1
ACC0577,2024-02,5000,0.7532,1.0,0.7,0.1,0.7513,3756.44,Yellow,False,False,1,1
ACC0580,2024-02,300000,1.0,1.0,1.0,0.1,0.91,273000.0,Green,False,True,1,1
ACC0581,2024-02,200000,0.7703,1.0,1.0,0.1,0.8181,163623.04,Green,False,False,1,1
ACC0584,2024-02,50000,0.6896,1.0,0.8,0.1,0.7458,37291.69,Yellow,False,False,1,1
ACC0586,2024-02,75000,1.0,1.0,1.0,0.1,0.91,68250.0,Green,False,True,1,1
ACC0587,2024-02,10000,0.6583,1.0,0.6,0.1,0.6933,6933.02,Yellow,False,False,1,1
ACC0589,2024-02,300000,0.7259,1.0,0.4,0.1,0.6803,204103.46,Yellow,False,False,1,1
ACC0594,2024-02,181356,0.5558,1.0,1.0,0.1,0.7323,132811.56,Yellow,False,False,1,1
ACC0600,2024-02,5000,0.0,0.0,0.2,0.1,0.0,0.0,Red,True,False,1,1
ACC0611,2024-02,10000,0.7594,1.0,1.0,0.1,0.8138,8137.69,Green,False,False,1,1
ACC0612,2024-02,100000,0.8219,1.0,1.0,0.1,0.8387,83874.13,Green,False,False,1,1
ACC0620,2024-02,174149,1.0,1.0,1.0,0.1,0.91,158475.59,Green,False,True,1,1
ACC0626,2024-02,15000,0.7562,1.0,0.8,0.1,0.7725,11587.36,Yellow,False,False,1,1
ACC0627,2024-02,10000,0.635,1.0,1.0,0.1,0.764,7639.91,Yellow,False,False,1,1
ACC0629,2024-02,300000,0.5764,1.0,1.0,0.1,0.7406,222165.61,Yellow,False,False,1,1
ACC0632,2024-02,10000,0.6886,1.0,0.6,0.1,0.7054,7054.34,Yellow,False,False,1,1
ACC0633,2024-02,100000,0.7697,1.0,1.0,0.1,0.8179,81789.81,Green,False,False,1,1
ACC0634,2024-02,100000,0.6783,1.0,0.6,0.1,0.7013,70131.1,Yellow,False,False,1,1
ACC0635,2024-02,194470,0.7264,1.0,0.7,0.1,0.7406,144015.21,Yellow,False,False,1,1
ACC0636,2024-02,25000,1.0,1.0,1.0,0.1,0.91,22750.0,Green,False,True,1,1
ACC0638,2024-02,15000,0.7239,1.0,1.0,0.1,0.7995,11993.18,Yellow,False,False,1,1
ACC0644,2024-02,5000,0.0078,0.0,0.2,0.1,0.0531,265.58,Red,False,False,1,1
ACC0655,2024-02,176101,0.0,0.0,0.6,0.1,0.0,0.0,Red,True,False,1,1
ACC0661,2024-02,25000,0.6998,1.0,0.2,0.1,0.6299,15747.91,Yellow,False,False,1,1
ACC0663,2024-02,122145,0.6291,1.0,1.0,0.1,0.7616,93030.61,Yellow,False,False,1,1
ACC0667,2024-02,5000,0.736,1.0,1.0,0.1,0.8044,4022.04,Green,False,False,1,1
ACC0685,2024-02,25000,0.5808,1.0,1.0,0.1,0.7423,18557.86,Yellow,False,False,1,1
ACC0697,2024-02,5000,0.6784,1.0,1.0,0.1,0.7814,3906.81,Yellow,False,False,1,1
ACC0700,2024-02,15000,0.6462,1.0,1.0,0.1,0.7685,11527.18,Yellow,False,False,1,1
ACC0703,2024-02,10000,0.6553,1.0,0.8,0.1,0.7321,7321.25,Yellow,False,False,1,1
ACC0706,2024-02,150000,0.5954,1.0,0.6,0.1,0.6682,100226.25,Yellow,False,False,1,1
ACC0707,2024-02,10000,0.6809,1.0,1.0,0.1,0.7824,7823.63,Yellow,False,False,1,1
ACC0716,2024-02,10000,0.7057,1.0,1.0,0.1,0.7923,7922.66,Yellow,False,False,1,1
ACC0738,2024-02,75000,0.5901,1.0,0.6,0.1,0.6661,49954.15,Yellow,False,False,1,1
ACC0745,2024-02,25000,0.7354,1.0,0.6,0.1,0.7241,18103.66,Yellow,False,False,1,1
ACC0749,2024-02,75000,0.6773,1.0,0.8,0.1,0.7409,55570.38,Yellow,False,False,1,1
ACC0766,2024-02,170984,0.7521,1.0,1.0,0.1,0.8108,138641.05,Green,False,False,1,1
ACC0778,2024-02,50000,0.6012,1.0,1.0,0.1,0.7505,37524.12,Yellow,False,False,1,1
ACC0780,2024-02,15000,0.0,0.0,0.2,0.1,0.0,0.0,Red,True,False,1,1
ACC0781,2024-02,10000,0.6924,1.0,1.0,0.1,0.787,7869.63,Yellow,False,False,1,1
ACC0782,2024-02,25000,0.6839,1.0,1.0,0.1,0.7836,19589.46,Yellow,False,False,1,1
ACC0783,2024-02,200000,0.5996,1.0,1.0,0.1,0.7498,149965.68,Yellow,False,False,1,1
ACC0787,2024-02,35000,1.0,1.0,1.0,0.1,0.91,31850.0,Green,False,True,1,1
ACC0789,2024-02,15000,0.6977,1.0,0.8,0.1,0.7491,11236.44,Yellow,False,False,1,1
ACC0794,2024-02,10000,0.7286,1.0,0.7,0.1,0.7414,7414.29,Yellow,False,False,1,1
ACC0797,2024-02,25000,0.7192,1.0,0.9,0.1,0.7777,19441.7,Yellow,False,False,1,1
ACC0798,2024-02,15000,0.0,0.0,0.6,0.1,0.0,0.0,Red,True,False,1,1
ACC0802,2024-02,5000,0.8133,1.0,0.6,0.1,0.7553,3776.54,Yellow,False,False,1,1
ACC0803,2024-02,15000,0.6531,1.0,0.6,0.1,0.6912,10368.71,Yellow,False,False,1,1
ACC0808,2024-02,100000,0.0,0.0,0.6,0.1,0.0,0.0,Red,True,False,1,1
ACC0812,2024-02,75000,0.6845,1.0,1.0,0.1,0.7838,58783.54,Yellow,False,False,1,1
ACC0813,2024-02,150000,0.6087,1.0,1.0,0.1,0.7535,113024.01,Yellow,False,False,1,1
ACC0823,2024-02,5000,0.7928,1.0,1.0,0.1,0.8271,4135.59,Green,False,False,1,1
ACC0825,2024-02,104248,0.6268,1.0,1.0,0.1,0.7607,79303.48,Yellow,False,False,1,1
ACC0831,2024-02,50000,0.7266,1.0,1.0,0.1,0.8006,40031.46,Green,False,False,1,1
ACC0832,2024-02,15000,0.7685,1.0,1.0,0.1,0.8174,12260.79,Green,False,False,1,1
